metric,type,top,ec,value
acc,ec,2,4,0.7610062893081762
acc,ec,2,6,0.6526315789473685
acc,ec,2,overall,0.7741800710256946
acc,ec,3,1,0.6446280991735537
acc,ec,3,2,0.9681440443213296
acc,ec,3,7,0.13636363636363635
acc,ec,3,3,0.6496478873239436
acc,ec,3,5,0.6927710843373494
acc,ec,3,4,0.7861635220125787
acc,ec,3,6,0.6947368421052632
acc,ec,3,overall,0.8013369542510967
acc,ec,4,1,0.6714876033057852
acc,ec,4,2,0.9699907663896583
acc,ec,4,7,0.18181818181818182
acc,ec,4,3,0.6690140845070423
acc,ec,4,5,0.7228915662650602
acc,ec,4,4,0.7955974842767296
acc,ec,4,6,0.7157894736842105
acc,ec,4,overall,0.8149153958637978
acc,ec,5,1,0.6914600550964187
acc,ec,5,2,0.9727608494921515
acc,ec,5,7,0.22727272727272727
acc,ec,5,3,0.6901408450704225
acc,ec,5,5,0.7409638554216867
acc,ec,5,4,0.7955974842767296
acc,ec,5,6,0.7157894736842105
acc,ec,5,overall,0.8255692500522248
