metric,type,top,ec,value
acc,backward,3,5,0.5060240963855421
acc,backward,3,4,0.6194968553459119
acc,backward,3,6,0.4421052631578947
acc,backward,3,overall,0.6204303321495718
acc,backward,4,1,0.3891184573002755
acc,backward,4,2,0.8818097876269622
acc,backward,4,7,0.09090909090909091
acc,backward,4,3,0.43485915492957744
acc,backward,4,5,0.5240963855421686
acc,backward,4,4,0.6352201257861635
acc,backward,4,6,0.4631578947368421
acc,backward,4,overall,0.6386045540004178
acc,backward,5,1,0.4035812672176309
acc,backward,5,2,0.8836565096952909
acc,backward,5,7,0.09090909090909091
acc,backward,5,3,0.4507042253521127
acc,backward,5,5,0.5421686746987951
acc,backward,5,4,0.6477987421383647
acc,backward,5,6,0.47368421052631576
acc,backward,5,overall,0.64737831627324
acc,roundtrip,1,1,0.1046831955922865
acc,roundtrip,1,2,0.5535549399815328
acc,roundtrip,1,7,0.0
acc,roundtrip,1,3,0.23415492957746478
acc,roundtrip,1,5,0.18674698795180722
acc,roundtrip,1,4,0.29245283018867924
acc,roundtrip,1,6,0.2
acc,roundtrip,1,overall,0.3398788385209944
acc,roundtrip,2,1,0.14600550964187328
acc,roundtrip,2,2,0.5951061865189289
acc,roundtrip,2,7,0.0
acc,roundtrip,2,3,0.27992957746478875
acc,roundtrip,2,5,0.2289156626506024
acc,roundtrip,2,4,0.330188679245283
acc,roundtrip,2,6,0.2631578947368421
acc,roundtrip,2,overall,0.3818675579695007
acc,roundtrip,3,1,0.16804407713498623
acc,roundtrip,3,2,0.6024930747922438
acc,roundtrip,3,7,0.0
acc,roundtrip,3,3,0.29577464788732394
acc,roundtrip,3,5,0.24096385542168675
acc,roundtrip,3,4,0.34276729559748426
acc,roundtrip,3,6,0.3157894736842105
acc,roundtrip,3,overall,0.3960726968874034
acc,roundtrip,4,1,0.18112947658402204
acc,roundtrip,4,2,0.6061865189289012
acc,roundtrip,4,7,0.045454545454545456
acc,roundtrip,4,3,0.301056338028169
acc,roundtrip,4,5,0.24096385542168675
acc,roundtrip,4,4,0.34591194968553457
acc,roundtrip,4,6,0.3263157894736842
acc,roundtrip,4,overall,0.40296636724462087
acc,roundtrip,5,1,0.1887052341597796
acc,roundtrip,5,2,0.6061865189289012
acc,roundtrip,5,7,0.045454545454545456
acc,roundtrip,5,3,0.30809859154929575
acc,roundtrip,5,5,0.2469879518072289
acc,roundtrip,5,4,0.3522012578616352
acc,roundtrip,5,6,0.3263157894736842
acc,roundtrip,5,overall,0.4067265510758304
acc,ec,1,1,0.4896694214876033
acc,ec,1,2,0.951061865189289
acc,ec,1,7,0.0
acc,ec,1,3,0.4841549295774648
acc,ec,1,5,0.572289156626506
acc,ec,1,4,0.6666666666666666
acc,ec,1,6,0.5473684210526316
acc,ec,1,overall,0.7113014414038019
acc,ec,2,1,0.5750688705234159
acc,ec,2,2,0.9598337950138505
acc,ec,2,7,0.0
acc,ec,2,3,0.5704225352112676
acc,ec,2,5,0.6566265060240963
acc,ec,2,4,0.7327044025157232
acc,ec,2,6,0.6421052631578947
acc,ec,2,overall,0.7606016294129935
acc,ec,3,1,0.6191460055096418
acc,ec,3,2,0.9653739612188366
acc,ec,3,7,0.09090909090909091
acc,ec,3,3,0.6320422535211268
